name,domain,url,hq,founded,funding_status,total_funding_usd,last_round,investors,crunchbase
Standing Ovation,standing-ovation.co,https://standing-ovation.co/,"Paris, Ile-de-France, France",2021-01-01,Early Stage Venture,44785198,Series B,"Astanor Ventures, Bpifrance, Crédit Mutuel Innovation, Government of France",https://www.crunchbase.com/organization/standing-ovation-39d6
Supercritical,supercritical.solutions,https://www.supercritical.solutions/,"London, England, United Kingdom",2020-06-01,Early Stage Venture,17400000,Series A,"Shell Ventures, Toyota Ventures",https://www.crunchbase.com/organization/supercritical-5974
Syndex Bio,syndex.bio,https://www.syndex.bio/,"Cambridge, Cambridgeshire, United Kingdom",2022-01-01,Seed,15500000,Seed,ARCH Venture Partners,https://www.crunchbase.com/organization/syndex-bio
SynthFlow AI,synthflow.ai,https://synthflow.ai/,"Berlin, Berlin, Germany",2023-07-01,Early Stage Venture,28984617,Series A,"Accel, Atlantic, Singular",https://www.crunchbase.com/organization/synthflow-ai
Synthesized,synthesized.io,https://www.synthesized.io,"London, England, United Kingdom",2020-01-01,Early Stage Venture,22800000,Series A,"Alma Mundi Ventures, Deutsche Bank, Google for Startups, IQ Capital, redalpine, Seedcamp, UBS Next",https://www.crunchbase.com/organization/synthesized-io
TaleMonster Games,talemonster.games,https://talemonster.games/,"Istanbul, Istanbul, Turkey",2024-01-01,Early Stage Venture,37000000,Series A,"Andreessen Horowitz, Arcadia Gaming Partners, General Catalyst",https://www.crunchbase.com/organization/talemonster-games
Tandem Health,tandemhealth.ai,https://tandemhealth.ai/,"Stockholm, Stockholms Lan, Sweden",2023-01-01,Early Stage Venture,59709915,Series A,"Kinnevik, Northzone",https://www.crunchbase.com/organization/tandem-health-aeb2
Tapline,tapline.io,https://tapline.io/,"Berlin, Berlin, Germany",2021-07-06,M&A,22723057,Seed,"Antler, Fasanara Capital, Karim Beshara, V-Sharp Venture Studio, WinYield",https://www.crunchbase.com/organization/tapline
Tem-Energy,tem.energy,https://www.tem.energy/,"London, England, United Kingdom",2021-01-01,Early Stage Venture,91920480,Series B,"AlbionVC, Atomico, Lightspeed Venture Partners",https://www.crunchbase.com/organization/tem-9f9a
Tytan Technologies,tytan-technologies.com,https://www.tytan-technologies.com/,"Munich, Bayern, Germany",2023-01-01,Early Stage Venture,52471302,Series A,"Armira, Magnetic Capital, NATO Innovation Fund",https://www.crunchbase.com/organization/tytan-technologies
Universal Kraft Canada Renewables,universalkraft.com,https://universalkraft.com/,"Porto, Lisboa, Portugal",2022-01-01,,,,Crayhill Capital Management,https://www.crunchbase.com/organization/universal-kraft-canada-renewables
Validation Cloud,validationcloud.io,https://www.validationcloud.io/,"Zug, Zug, Switzerland",2022-01-01,Early Stage Venture,21000000,Series A,"Blockchain Founders Fund, Cadenza Ventures, True Global Ventures (TGV)",https://www.crunchbase.com/organization/validation-cloud
Verda (formerly DataCrunch),verda.com,https://verda.com,"Helsinki, Southern Finland, Finland",2020-02-01,,190283260,Venture - Series Unknown,"Armada Credit Partners, byFounders, Lifeline Ventures, Nordea, Skaala, Tesi, Varma Mutual Pension Insurance Company",https://www.crunchbase.com/organization/datacrunch-io
Vertice,vertice.one,https://www.vertice.one/,"London, England, United Kingdom",2021-01-01,Late Stage Venture,100973537,Series C,"83North, Bessemer Venture Partners, Lakestar",https://www.crunchbase.com/organization/vertice-9c2f
Via Sana,centreviasana.com,http://www.centreviasana.com,"Paris, Ile-de-France, France",2020-01-01,Early Stage Venture,24661677,Series A,ISALT,https://www.crunchbase.com/organization/via-sana-a0b1
Voltfang,voltfang.de,https://voltfang.de,"Aachen, Nordrhein-Westfalen, Germany",2021-01-01,Early Stage Venture,31993446,Series B,"AENU, FORWARD.one, PT1",https://www.crunchbase.com/organization/voltfang
Vytal,vytal.org,https://www.vytal.org/,"Cologne, Nordrhein-Westfalen, Germany",2019-01-01,,34568936,Venture - Series Unknown,"Emerald Technology Ventures, Grazia Equity, Inven Capital",https://www.crunchbase.com/organization/vytal
Xoople,xoople.com,https://www.xoople.com,"Madrid, Madrid, Spain",2019-01-01,Early Stage Venture,283720273,Series B,"Centre for the Development of Industrial Technology (CDTI), Nazca Capital",https://www.crunchbase.com/organization/xoople
ZILO,zilo.co.uk,https://www.zilo.co.uk/,"London, England, United Kingdom",2020-04-20,Early Stage Venture,75566730,Series A,"ASP Ventures, Fidelity International Strategic Ventures, Portage Ventures",https://www.crunchbase.com/organization/xilo-technology
Zama,zama.ai,https://www.zama.ai,"Zug, Zug, Switzerland",2020-01-01,Early Stage Venture,139272392,Series B,"Blockchange Ventures, Multicoin Capital, Pantera Capital, Protocol Labs",https://www.crunchbase.com/organization/zama-aa23
cartagon.ai,cartagon.ai,http://cartagon.ai,"Berlin, Berlin, Germany",2025-01-01,Early Stage Venture,32564663,Series A,Core Capital Investments,https://www.crunchbase.com/organization/cartagon-ai
deskbird,deskbird.com,https://www.deskbird.com/,"Pfaffikon, Zurich, Switzerland",2020-08-01,Early Stage Venture,42700000,Series B,"AVP, FortyOne Group, Neva SGR, Octopus Ventures, Rivus Capital, Session.vc",https://www.crunchbase.com/organization/deskbird
ecoplanet,ecoplanet.tech,https://www.ecoplanet.tech/,"München, Bayern, Germany",2022-07-27,Early Stage Venture,19546070,Series A,"EQT Ventures, HV Capital",https://www.crunchbase.com/organization/ecoplanet
eleQtron,eleqtron.com,https://eleqtron.com/,"Siegen, Nordrhein-Westfalen, Germany",2020-05-01,Early Stage Venture,73029609,Series A,"Earlybird Venture Capital, EIC Accelerator, European Union, German Federal Ministry of Research, Technology and Space, Schwarz Digits",https://www.crunchbase.com/organization/eleqtron-3d70
mimic,mimicrobotics.com,https://www.mimicrobotics.com/,"Zürich, Zurich, Switzerland",2024-04-24,Seed,18421651,Seed,"Amazon Web Services, CES, Elaia, ESA Business Incubation Centre Switzerland, Founderful, Innosuisse, Speedinvest, Venture Kick",https://www.crunchbase.com/organization/mimic-robotics
voize,voize.de,https://www.voize.de,"Berlin, Berlin, Germany",2020-01-01,Early Stage Venture,59337218,Series A,"Balderton Capital, HV Capital, redalpine, Y Combinator",https://www.crunchbase.com/organization/voize
